,repository_name,language
189,ml-scaffold,Python
190,ml-selfcond,Python
191,ml-selfreflect,Python
192,ml-shuffling-amplification,Python
193,ml-sigma-reparam,Python
194,ml-sigmoid-attention,Python
195,ml-simplefold,Python
196,ml-slowfast-llava,Python
197,ml-space-benchmark,Python
198,ml-spatial-librispeech,
199,ml-speech-is-more-than-words,
200,ml-spin,Python
201,ml-stable-diffusion,Python
202,ml-stabledreamer,
203,ml-stuttering-events-dataset,Python
204,ml-superposition-prompting,Python
205,ml-switchboard-affect,Python
206,ml-symphony,Svelte
207,ml-synthbias,
208,ml-tada,Python
209,ml-tarflow,Python
210,ml-tic-clip,Python
211,ml-tic-lm,Python
212,ml-toad,Python
213,ml-tract,Python
214,ml-transcript-translation-consistency-ratings,
215,ml-translate-vis,TypeScript
216,ml-tree-dst,Python
217,ml-tune-mode-convbn,Python
218,ml-tweak,Python
219,ml-ui-jepa,Python
220,ml-uncertainty-llms-instruction-following,Python
221,ml-upscale,Jupyter Notebook
222,ml-uwac,Python
223,ml-veclip,Jupyter Notebook
224,ml-vfi-smiff,Python
225,ml-vfm-kt,
226,ml-vision-transformers-ane,Python
227,ml-vivid,Python
228,ml-winoidentity,
229,music-feed-examples,Java
230,openjdk,Java
231,parameterized-transforms,Python
232,password-manager-resources,JavaScript
233,pfl-research,Jupyter Notebook
234,pir-service-example,Swift
235,pkl,Java
236,pkl-evolution,
237,pkl-go,Go
238,pkl-go-examples,Go
239,pkl-intellij,Kotlin
240,pkl-jvm-examples,Groovy
241,pkl-k8s,Pkl
242,pkl-k8s-examples,Pkl
243,pkl-lang.org,JavaScript
244,pkl-lsp,Kotlin
245,pkl-neovim,Lua
246,pkl-package-docs,Kotlin
247,pkl-pantry,Pkl
248,pkl-project-commons,Pkl
249,pkl-spring,Java
250,pkl-swift,Swift
251,pkl-swift-examples,Swift
252,pkl-vscode,TypeScript
253,pkl.tmbundle,Pkl
254,pytorch-speech-features,Python
255,rules_pkl,Starlark
256,sample-backyard-birds,Swift
257,sample-cloudkit-coredatasync,Swift
258,sample-cloudkit-encryption,Swift
259,sample-cloudkit-privatedb,Swift
260,sample-cloudkit-privatedb-sync,Swift
261,sample-cloudkit-queries,Swift
262,sample-cloudkit-sharing,Swift
263,sample-cloudkit-sync-engine,Swift
264,sample-cloudkit-tooling,JavaScript
265,sample-cloudkit-zonesharing,Swift
266,sample-fbounds-safety-adoption,HTML
267,sample-food-truck,Swift
268,security-pcc,Swift
269,servicetalk,Java
270,speakstream-demo,HTML
271,swift-3-api-guidelines-review,Swift
272,swift-algorithms,Swift
273,swift-argument-parser,Swift
274,swift-asn1,Swift
275,swift-async-algorithms,Swift
276,swift-async-dns-resolver,Swift
277,swift-atomics,Swift
278,swift-binary-parsing,Swift
279,swift-cassandra-client,Swift
280,swift-certificates,Swift
281,swift-clang,C++
282,swift-clang-tools-extra,C++
283,swift-cluster-membership,Swift
284,swift-collections,Swift
285,swift-collections-benchmark,Swift
286,swift-compiler-rt,C
287,swift-configuration,Swift
288,swift-container-plugin,Swift
289,swift-crypto,Assembly
290,swift-distributed-actors,Swift
291,swift-distributed-tracing,Swift
292,swift-distributed-tracing-baggage-core,Swift
293,swift-distributed-tracing-extras,Swift
294,swift-evolution-staging,Swift
295,swift-homomorphic-encryption,Swift
296,swift-homomorphic-encryption-protobuf,
297,swift-http-structured-headers,Swift
298,swift-http-types,Swift
299,swift-internals,HTML
300,swift-issues,
301,swift-libcxx,C++
302,swift-llbuild2,Swift
303,swift-lldb,C++
304,swift-llvm,LLVM
305,swift-log,Swift
306,swift-metrics,Swift
307,swift-metrics-extras,Swift
308,swift-mmio,Swift
309,swift-nio,Swift
310,swift-nio-examples,Swift
311,swift-nio-extras,Swift
312,swift-nio-http2,Swift
313,swift-nio-imap,Swift
314,swift-nio-nghttp2-support,Swift
315,swift-nio-oblivious-http,Swift
316,swift-nio-ssh,Swift
317,swift-nio-ssl,Assembly
318,swift-nio-ssl-support,Swift
319,swift-nio-transport-services,Swift
320,swift-nio-zlib-support,Swift
321,swift-ntp,Swift
322,swift-numerics,Swift
323,swift-openapi-generator,Swift
324,swift-openapi-runtime,Swift
325,swift-openapi-urlsession,Swift
326,swift-play-experimental,Swift
327,swift-profile-recorder,Swift
328,swift-protobuf,Swift
329,swift-protobuf-plugin,
330,swift-protobuf-test-conformance,
331,swift-sample-distributed-actors-transport,Swift
332,swift-service-context,Swift
333,swift-service-discovery,Swift
334,swift-standard-library-preview,Swift
335,swift-statsd-client,Swift
336,swift-string-processing-benchmarks,Swift
337,swift-system,Swift
338,swift-temporal-sdk,Swift
339,swift-tools-support-async,Swift
340,swift-xcode-playground-support,Swift
341,swiftpm-on-llbuild2,Swift
342,SwiftUsd,C++
343,SwiftUsd-ast-answerer,C++
344,SwiftUsd-Tests,Swift
345,tensor-visualizer,Svelte
346,tensorflow_macos,Shell
347,ToolSandbox,Python
348,tree-sitter-pkl,Kotlin
349,turicreate,C++
350,unityplugins,C#
351,VideoFlashingReduction,Mathematica
352,visatronic-demo,HTML
353,vqg-multimodal-assistant,Python
